Category,Text	
negative,"""6862"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:05:23"",false,na,""801064034892152832"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""kannan978634553"",24,true,false"	
negative,"""3335"",""rt : those whom the gods wish to destroy, they first make mad -"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"""7249"","" mannkibaat sir i just wanted to let u know that i a common man fully support ur demonetization measure. don't loose heart."",false,0,""narendramodi"",""2016-11-22 13:02:45"",false,na,""801048273393827841"",""18839785"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""darthdevilish"",0,false,false"	
negative,"""7010"",""rt : cooperative banks shut down, sowing season completely disrupted, agri markets &amp; farmers badly affected demonetization"",false,0,na,""2016-11-22 13:43:06"",false,na,""801058428525350912"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""inc_ramkesh"",22,true,false"	
negative,"""1312"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-23 14:04:41"",false,na,""801426247234396161"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""chessvasu"",23,true,false"	
negative,"""7248"",""after demonetization, homeloans are expected to drop down to 7-8%. happyhomes  13:03:07"",false,na,""801048363680428032"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""tata_valuehomes"",1,false,false"	
negative,"""1310"",""how many parties opposing demonetization on d basis of inconvenience 2 poor has on record helped poor 2 come out of prob?"",false,0,na,""2016-11-23 14:04:53"",false,na,""801426295494090752"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""shreesha8"",0,false,false"	
negative,"""6403"",""demonetization: it's just the beginning, says pm modi as bjp mps endorse his crusade. worst is yet to come"	
negative,"""5441"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 19:26:53"",false,na,""801144942118604800"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""johnyraja"",23,true,false"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"""569"",""india's capacity utilization rate on neg. trend - won't be helped in short term by investment and consumption shock due to demonetization"",false,2,na,""2016-11-23 16:38:00"",false,na,""801464830108368896"",na,""<a href="""" rel=""""nofollow"""">tweetdeck</a>"",""steve_hanke"",3,false,false"	
negative,"""3310"",""demonetization - other than the usual suspects making usual noises - majority of indians still trust  on action taken"",false,26,""centerofright"",""2016-11-23 08:01:05"",false,""801334224515121153"",""801334743509897216"",""23095992"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""centerofright"",33,false,false"	
negative,"""5879"",""actually demonetization takes over as no. 1 scam title from gujaratmodel of development. tea selling becomes no. 3  17:16:31"",false,""645840144742780929"",""801112135413612545"",""43698075"",""<a href="""" rel=""""nofollow"""">tweetdeck</a>"",""jairajp"",2,false,false"	
negative,"""3307"",""  c-voter pulse poll on demonetization  08:01:23"",false,""801308582264373250"",""801334820374794240"",""56304605"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""vscheruvu"",0,false,false"	
negative,"""5058"",""rt : demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,"""2353"",""@<u+20b9>48k per jandhanaccount, the capacity to transform black money in to clean money is <u+20b9>12 lacs crs. this demonetization is poor in logic."",false,0,na,""2016-11-23 10:14:30"",false,na,""801368317529378820"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""birdinfo"",0,false,false"	
negative,"""6634"","" why is demonetization not being taken up seriously in the courts? why the delay? help us non-law people understand."",false,0,""sanjayuvacha"",""2016-11-22 14:47:53"",false,na,""801074730816053250"",""164335216"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""guy_delhi"",0,false,false"	
negative,time will tell whether it's a big though not flawless kick to push the country out of its comfort zone	
negative,"""7682"",""rt :  in less than two weeks, it's business as usual. god save this country. demonetization."",false,0,na,""2016-11-22 11:56:22"",false,na,""801031567929843712"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""dikshitsmita"",3,true,false"	
negative,"""3298"","" c-voter pulse poll on demonetization  08:02:06"",false,""801316021504266240"",""801334997584117760"",""56312411"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""vscheruvu"",0,false,false"	
negative,"""7915"",""rt :  the saviour - gives money to farmhouse poor peoples in demonetization"	
negative,"""2345"",""rt : have a look at what foreign media has to say on demonetization move of pm   10:16:45"",false,na,""801368883152191488"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""smilingshivani"",3,true,false"	
negative,"""5050"",""rt : is demonetization a gamechanging eco reform that'll hit terror funding, fake notes &amp; black economy?"",false,0,na,""2016-11-23 01:59:16"",false,na,""801243687866929152"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""dharmayuddha"",321,true,false"	
negative,"""4149"",""rt : please stop with the """"x died due to demonetization"""" posts. correlation does not imply causation. demonetization"",false,0,na,""2016-11-23 06:17:13"",false,na,""801308603995066368"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""aka_roger"",5,true,false"	
negative,"""1290"",""   demonetization : opposition should go to  constituencies  help people have patience so it improves their image."",false,0,""awasthis"",""2016-11-23 14:09:00"",false,""801364929739706370"",""801427334192513025"",""71815077"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""drbmsharma"",0,false,false"	
negative,"""1285"",""   demonetization the way they are creating scenario/ now bharatbandh this shall reduce image of opposition"",false,0,""awasthis"",""2016-11-23 14:09:49"",false,""801364929739706370"",""801427536869605377"",""71815077"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""drbmsharma"",0,false,false"	
negative,"""4148"",""  please ask mr.vadera to give his worthless views on the demonetization. it would be fun to listen to him too."",false,1,""cnnnews18"",""2016-11-23 06:17:19"",false,""801298655424679937"",""801308627604819969"",""6509832"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""samnshubhs"",0,false,false"	
negative,"""4622"",""pm's office must release funds to the families of people died due to demonetization policy. cashcleanup cashcrisis blackmoneydrama"",false,0,na,""2016-11-23 04:43:40"",false,na,""801285060037001216"",na,""<a href="""" rel=""""nofollow"""">twitter for windows phone</a>"",""karanb81"",0,false,false"	
negative,"""4621"",""rt : bad thing is"	
negative,"""4143"",""the demonetisation might have seemed positive but the cash crunch and long queues are really frustrating!  demonetization"",false,0,na,""2016-11-23 06:17:44"",false,na,""801308733095739392"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""soverignbeera"",0,false,false"	
negative,"""1281"",""93% support govt on demonetization move. parties, pls take note. your voters support this move. at least now, conduct parliament business"",false,0,na,""2016-11-23 14:10:22"",false,na,""801427678393810946"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""nitshenoy"",0,false,false"	
negative,"""4140"","" demonetization followed by vyapam mother of all scams.."",false,0,""ayyappanramasam"",""2016-11-23 06:18:30"",false,""801308317964500992"",""801308927803752450"",""988855537"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""cleviic"",2,false,false"	
negative,bank&amp;it people are corrupt	
negative,"""3285"",""  sm twitter empty vessels dare not to tweet. c-voter pulse poll on demonetization  08:04:01"",false,na,""801335481338384387"",""268676434"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""vscheruvu"",0,false,false"	
negative,"""7145"",""demonetization - what do you mean?"	
negative,"""4127"","".  frankly i don't understand why  doesn't address parlmnt on demonetization. it's his duty&amp;will defuse disruption"",false,95,""anandkamal"",""2016-11-23 06:19:49"",false,""801270550697943040"",""801309260382609409"",""71221321"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""shashitharoor"",57,false,false"	
negative,"""3278"",""rt : only the dishonest and the corrupt leader.  demonetization  08:04:39"",false,na,""801335640075931648"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""kejri420"",1,true,false"	
negative,"""3276"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 08:04:40"",false,na,""801335644102524928"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""vinirish"",16,true,false"	
negative,"""456"",""  well educated keralites &amp; bengali's will support bandh not coz demonetization they only know to react not respond"",false,0,""chaks1969"",""2016-11-23 16:59:21"",false,""801453152243326976"",""801470204446445569"",""1635525379"",""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""intolerantmallu"",0,false,false"	
negative,"""5045"",""rt : is demonetization a gamechanging eco reform that'll hit terror funding, fake notes &amp; black economy?"",false,0,na,""2016-11-23 02:00:11"",false,na,""801243918700609536"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""sonachele1"",321,true,false"	
negative,"""1270"",""rt : demonetization: the ultimate weapon against black economy  via "",false,0,na,""2016-11-23 14:12:34"",false,na,""801428229806432260"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""frenziraj"",7,true,false"	
negative,"""6631"",""demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,"""4618"",""when union minister family facing such trouble imagine the situation of common man  demonetization  04:44:50"",false,na,""801285354775080960"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""rzk_ali"",0,false,false"	
negative,"""1267"",""demonetization    bank officials can make monetization a failure. stop the fraud and corruption going on in banks."",false,0,na,""2016-11-23 14:13:13"",false,na,""801428392105181184"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""747alok"",0,false,false"	
negative,"""1265"",""rt : demonetization: the ultimate weapon against black economy  via "",false,0,na,""2016-11-23 14:13:57"",false,na,""801428577203920896"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""cerebration12"",7,true,false"	
negative,"""7547"",""just saw a guy who was standing in queue for 1 hour only to withdraw <u+20b9>100 to reach his home... sad isn't it? noteban demonetization"",false,0,na,""2016-11-22 12:15:05"",false,na,""801036274945527808"",na,""<a href="""" rel=""""nofollow"""">twitter for windows phone</a>"",""journofaisal"",0,false,false"	
negative,"""35"",""rt : demonetization is communal and black money is secular..."",false,0,na,""2016-11-23 18:30:08"",false,na,""801493047988994049"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""ghostbustor"",1,true,false"	
negative,"""6070"",""  especially in the current situation of demonetization"",false,1,""csbhakuni"",""2016-11-22 16:32:19"",false,""801099202524626944"",""801101010630381568"",""3302619102"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""absolutethinker"",1,false,false"	
negative,"""2327"",""rt : more than 5,00,000 indians to lose job in next 6 months due to badly planned demonetization by modi govt."",false,0,na,""2016-11-23 10:17:46"",false,na,""801369141751980032"",na,""<a href="""" rel=""""nofollow"""">mobile web (m5)</a>"",""citizenspov"",219,true,false"	
negative,"""4615"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 04:45:25"",false,na,""801285500812214272"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""vidyaranyaks"",14,true,false"	
negative,"""1248"",""  sir, u r a respectd prsn, but wid ths move against demonetization pepl r qustning ur intntn!hope u r nt involved in sarda scam"",false,1,""quizderek"",""2016-11-23 14:17:30"",false,""801264483704242176"",""801429470074707968"",""120965579"",""<a href="""" rel=""""nofollow"""">twitter for windows phone</a>"",""souvikdharawb"",0,false,false"	
negative,"""5424"",""  do u feel that its a stage drama by sp to fail demonetization"",false,0,""zeenews"",""2016-11-22 19:39:17"",false,""801133145873645568"",""801148063616155649"",""18071358"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""dsuditya"",0,false,false"	
negative,"""6629"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:48:25"",false,na,""801074865105051649"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""surekha7722"",24,true,false"	
negative,"""1245"",""i'm struggling with no cash i have to pay for the hotel in cash and they don't accept dollars  demonetization india tourist"",false,0,""idkimjojo"",""2016-11-23 14:18:22"",false,""801428825376555008"",""801429691148091392"",""2943993426"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""idkimjojo"",0,false,false"	
negative,"""172"",""rt : how come those people crying for line in banks are not crying for line ups here in......"	
negative,it's deliberate drama being done for pr propaganda.	
negative,"""6900"",""demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad    "",false,0,na,""2016-11-22 13:58:41"",false,na,""801062348916191232"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""muzzammilaap"",3,false,false"	
negative,"""6284"",""finally liningup at the atm couldnthelpit  demonetization  notcomplaining achedin round the corner!"",false,0,na,""2016-11-22 15:47:26"",false,na,""801089716426657792"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""d_harshita"",0,false,false"	
negative,"""5665"",""  u really think this country needs a govt of scams? probably u also lst a lot of black money in dis demonetization"",false,0,""darokr1"",""2016-11-22 18:06:17"",false,""800996302691500032"",""801124658670018560"",""57388054"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""mayank245"",0,false,false"	
negative,"""2317"",""rt : more than 5,00,000 indians to lose job in next 6 months due to badly planned demonetization by modi govt."",false,0,na,""2016-11-23 10:18:14"",false,na,""801369257892265985"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""monsun14"",219,true,false"	
negative,"""3257"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 08:06:20"",false,na,""801336062295609344"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""yelvee"",16,true,false"	
negative,"""3256"",""demonetization - ppl are ready to give  the 50 days he asked for in the war against corruption and black money"",false,10,""centerofright"",""2016-11-23 08:06:23"",false,""801334743509897216"",""801336076203913216"",""23095992"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""centerofright"",8,false,false"	
negative,"""5034"",""a request -instead of tweeting &amp; posting negative abt demonetization, pl post/tweet abt working atms, banks in ur locality"",false,8,na,""2016-11-23 02:15:37"",false,na,""801247804324618244"",na,""<a href="""" rel=""""nofollow"""">tweetcaster for android</a>"",""pavanaja"",5,false,false"	
negative,"""4606"",""rt : bad thing is"	
negative,"""2311"",""rt : more than 5,00,000 indians to lose job in next 6 months due to badly planned demonetization by modi govt."",false,0,na,""2016-11-23 10:19:06"",false,na,""801369475559858176"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""firoze_"",219,true,false"	
negative,"""5866"",""support from common mass of india to demonetization  17:19:28"",false,na,""801112877058834432"",na,""<a href="""" rel=""""nofollow"""">facebook</a>"",""bjym_jk"",0,false,false"	
negative,"""7813"",""rt : government's seriousness about black money: reality or a sham?"	
